aadhaa	aa dh aa
haraadhaniyaa	h a r aa dh a n ii y aa
haraadhaniyaa	h a r aa dh a n i y aa
haraadhaniyaa	h a r ii dh a n aa
haraadhaniyaa	h a r ii dh a n ii y aa
haraadhaniyaa	h a r ii dh a n i y aa
haraa	h a r aa
haraakeelaa	h a r aa k ee l aa
haraakeelaa	h a r ii k ee l aa
haraamatxara	h a r aa m a tx a r
haraamatxara	h a r ii m a tx a r
haraapyaaja	h a r aa p i y aa j
haraapyaaja	h a r aa p y aa j
haradaa	h a r a d aa
haradaa	h a r d aa
haradoii	h a r a d o i
haradoii	h a r a d o ii
harapaalapura	h a r a p aa l a p u r
harapaalapura	h a r a p aa l axx p u r
harapaalapura	h a r a p aa l p u r
harapaalapura	h a r p aa l axx p u r
hardoii	h a r a d o ii
hardoii	h a r axx d o ii
hardoii	h a r d o ii
hargaanwa	h a r g aan w
harii	h a r ii
hariimirca	h a r aa m a r c aa
hariimirca	h a r aa m i r c
hariimirca	h a r aa m i r c aa
hariimirca	h a r ii m a r c aa
hariimirca	h a r ii m i r c
hariimirca	h a r ii m i r c aa
hasanapura	h a s a n a p u r
hasanapura	h a s a n axx p u r
hatxaa	h a tx aa
heidaragadxhqa	h ei d a r a g a dxhq
heidaragadxhqa	h ei d a r axx g a dxhq
hei	h ei
<hmm>	SIL
<hm>	SIL
<horn>	SIL
hoshangaabaada	h o sh n g aa b aa d
hotaa	h o t aa
huaa	h u aa
icchawara	i cch a w aa r
iikha	ii kh
ikkiisa	i k k ii s
ikkiisa	i kk ii s
ikyaawana	i k y aa w a n
ilaahaabaada	i l aa b aa d
ilaahaabaada	i l aa h aa b aa d
ilaahaabaada	i l aa h axx b aa d
ilaaichii	i l aa i ch ii
ilaaichii	i l aa ii ch ii
imalii	i m a l ii
imalii	i m axx l ii
imalii	i m l ii
indoura	i n d ou r
indxiyana	i n dx i y a n
inkyaanbee	i n k y aa n b ee
ismaala	i s axx m aa l
ismaala	i s m aa l
itxaarasii	i tx aa r a sh ii
itxaarasii	i tx aa r sh ii
itxaawaa	ee tx aa w aa
itxaawaa	i tx aa b aa
itxaawaa	i t x aa w aa
itxaawaa	i tx aa w aa
jaalouna	j aa l ou n
jaamuna	j aa m u n
jaapharaganja	j aa ph a r a g a n j
jaapharaganja	j aa ph a r axx g a n j
jaapharaganja	j aa ph axx r axx g a n j
jaawada	j aa w a d
jabalapura	j a b a l a p u r
jabalapura	j a b a l axx p u r
jagadiishapura	j a g a d ii sh a p u r
jagadiishapura	j a g axx d ii sh a p u r
jaganeira	j a g a n ei r
jaganeira	j a g axx n ee r
jaganeira	j a g axx n ei r
jageerii	j a g ee r ii
jahaanaabaada	j a h aa n aa b aa d
jahaangiiraabaada	j aan h axx g ii r aa b aa d
jahaangiiraabaada	j a h aa n g ii r aa b aa d
jahaangiiraabaada	j a h aan g ii r aa b aa d
jalaalaabaada	j a l aa l aa b aa d
jalaalapura	j a l aa l a p u r
jalaalapura	j a l aa l axx p u r
jalaauulakadxqii	j a l aa uu l a k a dxq ii
jalaauulakadxqii	j a l aa uu l a k axx dxq ii
jalaauulakadxqii	j a l aa uu l a k dxq ii
jalaawana	j a l aa w a n
jamaniyaana	j a m a n i aa n
jamaniyaana	j a m a n ii aa n
jamaniyaana	j a m a n ii y aa n
jamaniyaana	j a m a n i y aa n
janawarii	j a n a w a r ii
janawarii	j a n a w axx r ii
janawarii	j a n w a r ii
jangiipura	j a n g ii p u r
jangiipura	j a n g ii p u r aa
jaraara	j a r aa r
jasawantanagara	j a s a w a n t a n a g a r
jasawantanagara	j a s a w axx n t n a g a r
jasawantanagara	j a s axx w a n t a n a g a r
jasraa	j a s r aa
jaweeraa	j a w ee r aa
jayaa	j a y aa
jayasa	j a y a s
jeewara	j ee w a r
jeitapura	j ei t a p u r
jeitapura	j ei t axx p u r
jhaabuaa	jh aa b u aa
jhaabuaa	jh aa b uu aa
jhaansii	jh aan s i
jhaansii	jh aa n s ii
jhaansii	jh aan s ii
jhiingaa	jh ii n g aa
jhiinjhaka	jh ii n jh a k
jii	j ii
jiiraa	j ii r aa
jiiro	j ii r o
jilaa	j i l aa
jobatxa	j o b a tx
joudaraa	j ou d a r aa
joudeeshii	j ou d ee sh ii
joudeeshii	j ou d ee s ii
joudxqarii	j ou dxq r ii
joudxqarii	j u n a r ii
jou	j ou
jounapura	j ou n a p u r
jounapura	j ou n axx p u r
jouraa	j ou r aa
jwaara	j u w aa r
jwaara	j w aa r
jwaarasapheeda	j u w aa r a s a ph ee d
jwaarasapheeda	j u w aa r a s a ph ee d aa
jwaarasapheeda	j w aa r a s a ph ee d
jwaarasapheeda	j w aa r a s a ph ee d aa
jyotibaaphuleenagar	j y o t i b aa ph u l ee n a g a r
kaabuliicanaa	k aa b u l ii c a n aa
kaabuliicanaa	k aa b uu l ii c a n aa
kaajuu	k aa j uu
kaalaagudxqa	k aa l aa g u dxq
kaalaa	k aa l aa
kaalaapiipal	k aa l aa p ii p a l
kaalii	k aa l ii
kaaliilohiisarason	k aa l ii l o h ii s a r a s o
kaaliisarason	k aa l ii s a r a s o
kaaliisarason	k aa l ii s a r a s o n
kaaliisarason	k aa l ii s a r axx s o n
kaaliiudxqadadaala	k aa l ii u dxq a d a d aa l
kaaliiudxqadadaala	k aa l ii u r a d a d aa l
kaaliiudxqadadaala	k aa l ii u r d a d aa l
kaaliiudxqada	k aa l ii u dxq a d
kaaliiudxqada	k aa l ii u r a d
kaaliiudxqada	k aa l ii u r d
kaalpii	k aa l a p ii
kaalpii	k aa l axx p ii
kaalpii	k aa l p ii
kaanapuradeehaata	k aa n a p u r a d ee h aa t
kaanapuradeehaata	k aa n axx p u r a d ee h aa t
kaanapuradeehaata	k aa n p u r a d ee h aa t
kaanapura	k aa n a p u r
kaanapura	k aa n axx p u r
kaanapura	k aa n p u r
kaanapuranagara	k aa n a p u r a n a g a r
kaanapuranagara	k aa n axx p u r a n a g a r
kaanapuranagara	k aa n p u r a n a g a r
kaasaganja	k aa s a g a n j
kaasaganja	k aa s axx g a n j
kaasaganja	k aa sh axx g a n j
kaashamiirii	k aa sh a m ii r ii
kaashamiirii	k aa sh axx m ii r ii
kaashamiirii	k a sh m ii r ii
kaashamiiriiseeba	k aa sh a m ii r ii s ee b
kaashamiiriiseeba	k aa sh a m ii r ii s ee w
kaashamiiriiseeba	k aa sh axx m ii r ii s ee b
kaashamiiriiseeba	k aa sh axx m ii r ii s ee w
kaashamiiriiseeba	k a sh m ii r ii s ee b
kaashamiiriiseeba	k a sh m ii r ii s ee w
kaashiiphala	k aa sh ii ph a l
kaashiiphala	k aa s ii ph a l
kaayamaganja	k aa y aa m a g a n j
kaayamaganja	k aa y aa m axx g a n j
kacarana	k a c a r a n
kacarana	k a c axx r a n
kaccaa	k a c c aa
kaccaa	k a cc aa
kaccaakeelaa	k a c c aa k ee l aa
kaccaakeelaa	k a cc aa k ee l aa
kadauraa	k a d ou r aa
kadduu	k a d d uu
kadduu	k a dd uu
kakadxqii	k a k a dxq ii
kakadxqii	k a k axx dxq ii
kakadxqii	k a k dxq ii
kamalaaganja	k a m a l aa g a n j
kamalaaganja	k a m l aa g a n j
kandxiishana	k a n a dx ii sh a n
kandxiishana	k a n axx dx ii s a n
kandxiishana	k a n axx dx ii sh a n
kandxiishanaseeba	k a n a dx ii sh a n a s ee b
kandxiishanaseeba	k a n a dx ii sh a n a s ee w
kandxiishanaseeba	k a n axx dx ii s a n a s ee b
kandxiishanaseeba	k a n axx dx ii s a n a s ee w
kandxiishanaseeba	k a n axx dx ii sh a n a s ee b
kandxiishanaseeba	k a n axx dx ii sh a n a s ee w
kannoudha	k nn ou dh
kannouja	k a n n ou j
kannouja	k a nn ou j
kapaasa	k a p aa s
karabii	k a r a b ii
karabii	k a r axx b ii
kareelaa	k a r ee l aa
kareelii	k a r ee l ii
kareeraa	k r ee r aa
karneilganja	k a r a n ee l axx g a n j
karneilganja	k a r a n ei l axx g a n j
karneilganja	k a r axx n ei l axx g a n j
kashamiira	k a s axx m ii r
kashamiira	k a sh a m ii r
kashamiira	k a sh axx m ii r
kashamiira	k a sh m ii r
kashamiira	k a s m ii r
kashamiiramirca	k a s axx m ii r a m a r c aa
kashamiiramirca	k a s axx m ii r a m i r c
kashamiiramirca	k a s axx m ii r a m i r c aa
kashamiiramirca	k a sh a m ii r a m a r c aa
kashamiiramirca	k a sh a m ii r a m i r c
kashamiiramirca	k a sh a m ii r a m i r c aa
kashamiiramirca	k a sh axx m ii r a m a r c aa
kashamiiramirca	k a sh axx m ii r a m i r c
kashamiiramirca	k a sh axx m ii r a m i r c aa
kashamiiramirca	k a sh m ii r a m a r c aa
kashamiiramirca	k a sh m ii r a m i r c
kashamiiramirca	k a sh m ii r a m i r c aa
kashamiiramirca	k a s m ii r a m a r c aa
kashamiiramirca	k a s m ii r a m i r c
kashamiiramirca	k a s m ii r a m i r c aa
kashamiiraseeba	k a s axx m ii r a s ee b
kashamiiraseeba	k a s axx m ii r a s ee w
kashamiiraseeba	k a sh a m ii r a s ee b
kashamiiraseeba	k a sh a m ii r a s ee w
kashamiiraseeba	k a sh axx m ii r a s ee b
kashamiiraseeba	k a sh axx m ii r a s ee w
kashamiiraseeba	k a sh m ii r a s ee b
kashamiiraseeba	k a sh m ii r a s ee w
kashamiiraseeba	k a s m ii r a s ee b
kashamiiraseeba	k a s m ii r a s ee w
katxahala	k a tx a h a l
katxahala	k a tx ee r
katxahala	k a tx h ee r
katxangii	k a tx n g ii
katxanii	k a tx a n ii
katxanii	k a tx n ii
keejii	k ee j ii
kee	k ee
keelaaanya	k ee l aa a n y
keelaa	k ee l aa
keewala	k ee w a l
keilaarasa	k ei l aa r a s
keolarii	k ee o l a r ii
khaagaa	kh aa g a
khacharoda	kh a ch a r o d
khacharoda	kh a ch a r ou d
khadxqii	kh a dxq ee
khadxqii	kh a dxq ii
khaliilaabaada	kh a l ii l aa b aa d
khandxawaa	kh a n dx a w aa
kharabuujaa	kh a r a b uu j aa
kharabuujaa	kh a r axx b uu j aa
kharabuujaa	kh a r b uu j aa
kharagona	kh r a g o n
khariipha	kh a r ii ph
khatoulii	kh a t ou l ii
kheekadxqaa	kh ee k axx dxq aa
kheetagaanwa	k h ee t a g aa m
kheetagaanwa	k h ee t a g aa w
kheeta	kh ee t
kheetii	kh ee t ii
kheiraagadxhqa	kh ei r aa g a dxhq
kheira	kh ei r
khiiraa	kh ii r aa
khilchiipura	kh i l ch ii p u r
khirakiyaa	kh i r a k i y aa
khoyaa	kh o aa
khoyaa	kh o y aa
khujaneera	kh u j a n ee r
khuraaii	k h u r aa ii
khurajaa	k h u r axx j aa
kii	k ii
kiiratapura	k ii r a t a p u r
kiiratapura	k ii r a t axx p u r
kiiratapura	k ii r a t p u r
kilograama	k i l o g r aa m
kilo	k i l o
kilomiitxara	k i l o m ii tx a r
kishanapura	k i s a n a p u r
kishanapura	k i s a n axx p u r
kishanapura	k i sh a n a p u r
kishanapura	k i sh a n axx p u r
kolaakeeshiyaa	k o l aa k ee sh i aa
kolaakeeshiyaa	k o l aa k ee sh i y aa
kolaakeeshiyaa	k o l aa k ee s i aa
kolaakeeshiyaa	k o l aa k ee s i y aa
konca	k o n c
kopaganja	k o p axx g a n j
korsa	k o r s
koshiikalaan	k o sh ii k a l aa
koshiikalaan	k o sh ii k a l aan
koshiikalaan	k o s ii k a l aan
koushaamabii	k ou s aa m axx b ii
koushaamabii	k ou s a m axx b ii
koushaamabii	k ou sh aa m a b ii
koushaamabii	k ou sh aa m axx b ii
koushaamabii	k ou sh a m axx b ii
kuaan	k uu aa n
kukuramuuttaa	k u k u r a m u u t t aa
kukuramuuttaa	k u k u r axx m u tt aa
kukuramuuttaa	k uu k u r axx m u tt aa
kumbharaaja	k u m bh a r aa j
kumhadxhqaa	k u m a h a dxhq aa
kumhadxhqaa	k u m axx h a dxhq aa
kuraaraa	k u r aa r aa
kuraawara	k u r aa w a r
kushiinagara	k u sh ii n a g a r
kushiinagara	k u s ii n a g a r
kwintxala	k u n a tx a l
kwintxala	k u n axx tx a l
kwintxala	k w i n axx tx a l
kyaa	k y aa
laahaa	l aa h aa
laalaaaluu	l aa l a aa l uu
laalabaadxqaa	l aa l a b aa dxq aa
laalaganja	l aa l a g a n j
laalaganja	l aa l axx g a n j
laalagudxqa	l aa l a g u dxq
laala	l aa l
laalamakkaa	l aa l a m a k k aa
laalamakkaa	l aa l a m a kk aa
laalamirca	l aa l a m a r c aa
laalamirca	l aa l a m i r c
laalamirca	l aa l a m i r c aa
laalamirca	l aa l a m i r c ii
laalapyaaja	l aa l a p i y aa j
laalapyaaja	l aa l a p y aa j
lagabhaga	l a g a bh a g
lagabhaga	l a g axx bh a g
lahasunadeeshii	l a h a s u n a d ee sh ii
lahasunadeeshii	l a h a s u n a d ee s ii
lahasunadeeshii	l a h axx s u n a d ee sh ii
lahasunadeeshii	l a h axx s u n a d ee s ii
lahasunadeeshii	l ee h a s u n a d ee sh ii
lahasunadeeshii	l ee h a s u n a d ee s ii
lahasunadeeshii	l ee h axx s u n a d ee sh ii
lahasunadeeshii	l ee h axx s u n a d ee s ii
lahasunadeeshii	l ee s u n a d ee sh ii
lahasunadeeshii	l ee s u n a d ee s ii
lahasuna	l a h a s u n
lahasuna	l a h axx s u n
lahasuna	l ee h a s u n
lahasuna	l ee h axx s u n
lahasuna	l ee s u n
lahasunayuupii	l a h a s u n a y uu p ii
lahasunayuupii	l a h axx s u n a y uu p ii
lahasunayuupii	l ee h a s u n a y uu p ii
lahasunayuupii	l ee h axx s u n a y uu p ii
lahasunayuupii	l ee s u n a y uu p ii
lakadxqii	l a k a dxq ii
lakadxqii	l a k axx dxq ii
lakadxqii	l a k dxq ii
lakhanauu	l a kh a n a uu
lakhanauu	l a kh axx n a uu
lakhiimapurakhiirii	l a kh ii m p u r a kh ii r ii
lakhiimapura	l a k h ii m axx p u r
lalitapura	l a l i t a p u r
lalitapura	l a l i t axx p u r
lambeebeingana	l a m b ee b ee n g a n
lambeebeingana	l a m b ee b ei g a n
lambeebeingana	l a m b ee b ei n g a n
lambee	l a m b ee
lashkara	l a s a k a r
lashkara	l a sh k a r
lashkara	l a s k a r
latxeeri	l tx ee r ii
<laugh>	SIL
liicii	l ii c ii
lobiiyaa	l o b i aa
lobiiyaa	l o b ii aa
lobiiyaa	l o b ii y aa
lobiiyaa	l o b i y aa
lohaarda	l o h aa r d
lohii	l o h ii
lohiiyaanagara	l o h ii aa n a g a r
lohiiyaanagara	l o h ii y aa n a g a r
lokalaaaluu	l o k a l a aa l uu
lokalabaajaraa	l o k a l a b aa j a r aa
lokalabaajaraa	l o k a l a b aa j axx r aa
lokalajou	l o k a l a j ou
lokala	l o k a l
lokalamakkaa	l o k a l a m a k k aa
lokalamakkaa	l o k a l a m a kk aa
lokalatxamaatxara	l o k a l a tx a m aa tx a r
lokalatxamaatxara	l o k a l a tx i m aa tx a r
loukii	l ou k ii
maadhawaganja	m aa dh a w a g a n j
maadhougadxhqa	m aa dh o g a dxhq
maadhougadxhqa	m aa dh ou g a dxhq
maanapura	m aa n a p u r
maanapura	m aa n axx p u r
mabaanaa	m a b aa n aa
machalapura	m a ch a l a p u r
machalapura	m a ch a l axx p u r
machaliibaatxaaputtxii	m a ch axx l ii b aa tx aa p u ttx ii
machaliibaatxaaputtxii	m a ch axx r ii b aa tx aa p u ttx ii
machaliibaatxaaputtxii	m a ch l ii b aa tx aa p u ttx ii
machaliibaatxaaputtxii	m a ch r ii b aa tx aa p u ttx ii
machaliibluudxoma	m a ch a l ii b l uu dx o m
machaliichilawaa	m a ch axx l ii ch i l a w aa
machaliichilawaa	m a ch axx l ii ch i l w aa
machaliichilawaa	m a ch axx r ii ch i l a w aa
machaliichilawaa	m a ch axx r ii ch i l w aa
machaliichilawaa	m a ch l ii ch i l a w aa
machaliichilawaa	m a ch l ii ch i l w aa
machaliichilawaa	m a ch r ii ch i l a w aa
machaliichilawaa	m a ch r ii ch i l w aa
machaliihalawaa	m a ch a l ii h a l a w aa
machaliihilsaa	m a ch axx l ii h i l axx s aa
machaliihilsaa	m a ch axx l ii h i l s aa
machaliihilsaa	m a ch axx r ii h i l axx s aa
machaliihilsaa	m a ch axx r ii h i l s aa
machaliihilsaa	m a ch l ii h i l axx s aa
machaliihilsaa	m a ch l ii h i l s aa
machaliihilsaa	m a ch r ii h i l axx s aa
machaliihilsaa	m a ch r ii h i l s aa
machaliijhiingaa	m a ch axx l ii jh ii n g aa
machaliijhiingaa	m a ch axx r ii jh ii n g aa
machaliijhiingaa	m a ch l ii jh ii n g aa
machaliijhiingaa	m a ch r ii jh ii n g aa
machalii	m a ch axx l ii
machalii	m a ch axx r ii
machalii	m a ch l ii
machalii	m a ch r ii
machaliimallii	m a ch axx l ii m a l l ii
machaliimallii	m a ch axx l ii m a ll ii
machaliimallii	m a ch axx r ii m a l l ii
machaliimallii	m a ch axx r ii m a ll ii
machaliimallii	m a ch l ii m a l l ii
machaliimallii	m a ch l ii m a ll ii
machaliimallii	m a ch r ii m a l l ii
machaliimallii	m a ch r ii m a ll ii
machaliiniiliidxoma	m a ch a l ii n ii l ii dx o m
machaliipangasa	m a ch a l ii p a n g a s
machaliiraahuu	m a ch axx l ii r aa h uu
machaliiraahuu	m a ch axx r ii r aa h uu
machaliiraahuu	m a ch l ii r aa h uu
machaliiraahuu	m a ch r ii r aa h uu
machaliisapheedadxoma	m a ch a l ii s a p h ee d a dx o m
machaliishol	m a ch a l ii s h o l
machaliisingaraa	m a ch axx l ii s i n g a r aa
machaliisingaraa	m a ch axx l ii s i n g axx r aa
machaliisingaraa	m a ch axx r ii s i n g a r aa
machaliisingaraa	m a ch axx r ii s i n g axx r aa
machaliisingaraa	m a ch l ii s i n g a r aa
machaliisingaraa	m a ch l ii s i n g axx r aa
machaliisingaraa	m a ch r ii s i n g a r aa
machaliisingaraa	m a ch r ii s i n g axx r aa
machaliisuramayii	m a ch axx l ii s u r a m a y ii
machaliisuramayii	m a ch axx l ii s u r axx m a y ii
machaliisuramayii	m a ch axx r ii s u r a m a y ii
machaliisuramayii	m a ch axx r ii s u r axx m a y ii
machaliisuramayii	m a ch l ii s u r a m a y ii
machaliisuramayii	m a ch l ii s u r axx m a y ii
machaliisuramayii	m a ch r ii s u r a m a y ii
machaliisuramayii	m a ch r ii s u r axx m a y ii
madhuupura	m a dh uu p u r
madhyama	m a dh y a m
magrounii	m a g a r ou n ii
mahaaraajaganja	m a h aa r aa j a g a n j
mahaaraajaganja	m a h aa r aa j axx g a n j
mahobaa	m a h o b aa
maholii	m a h o l ii
mahuu	m a h uu
mahuwaa	m a h u aa
mahuwaa	m a h u w aa
makaii	m a k a i
makaii	m a k a ii
makasii	m a k s ii
makasuudanagara	m a k a s uu d a n a g a r
makkaahaaibridxa	m a k k aa h aa i b r i dx
makkaahaaibridxa	m a kk aa h aa i b r i dx
makkaahaaibridxa	m a k k aa h aa i b r ii dx
makkaahaaibridxa	m a kk aa h aa i b r ii dx
makkaamadhyama	m a k k aa m a dh y a m
makkaamadhyama	m a kk aa m a dh y a m
makkaa	m a k k aa
makkaa	m a kk aa
makkaaphaaina	m a k k aa ph aa i n
makkaaphaaina	m a kk aa ph aa i n
manaasaa	m a n aa s aa
manaawara	m a n aa w a r
manajhanapura	m a n a jh a n a p u r
manajhanapura	m a n axx jh a n axx p u r
manajhanapura	m a n axx jh a n p u r
mandasoura	m a n d a s ou r
mandxalaa	m a n dx a l aa
mandxii	m a n dx ii
masharuuma	m a s axx r uu m
masharuuma	m a sh a r uu m
masharuuma	m a sh axx r uu m
masharuuma	m a sh r uu m
masuuradaala	m a s uu r a d aa l
masuurakiidaala	m a s uu r a k ii d aa l
masuura	m a s uu r
masuurasaabuuta	m a s uu r a s aa b u t
masuurasaabuuta	m a s uu r a s aa b uu t
mathuraa	m a th u r aa
matxakii	m a tx a k ii
matxara	m a tx a r
mauraniipura	m a u r aa n ii p u r
mauraniipura	m a uu r aa n ii p u r
mauu	m a uu
mawaanaa	m a w aa n aa
meehagaanwa	m ee h a g aa w
meehagaanwa	m ee h g aa m
meeharounii	m ee h axx r ou n ii
meeratxha	m ee r a txh
meethiibiija	m ee th ii b ii j
meethiibiija	m ei th ii b ii j
meethii	m ee th ii
meethii	m ei th ii
mehamuudaabaad	m ee h axx m uu d aa b aa d
meigalaganja	m ei g a l axx g a n j
meihara	m ei h a r
meinapurii	m ei n a p u r ii
meinapurii	m ei n axx p u r ii
meingo	m ee n g o
meingo	m ei n g o
meiriigoldxa	m ee r ii g o l dx
meiriigoldxa	m ei r ii g o l dx
mihiipurawaa	m i h ii p u r axx w aa
miirapura	m ii r a p u r
miitxara	m ii tx a r
mircalaala	m a r c aa l aa l
mircalaala	m i r c aa l aa l
mircalaala	m i r c a l aa l
mirca	m a r c aa
mirca	m i r c
mirca	m i r c aa
mircashimalaa	m a r c aa sh i m a l aa
mircashimalaa	m a r c aa s i m axx l aa
mircashimalaa	m i r c aa sh i m a l aa
mircashimalaa	m i r c aa s i m axx l aa
mircashimalaa	m i r c a sh i m a l aa
mircashimalaa	m i r c a s i m axx l aa
mircii	m i r c ii
mirjaapura	m i r axx j aa p u r
mirjaapura	m i r j aa p u r
misriikh	m i s axx r ii k h
misriikh	m i s r ii k h
mohammadaabaada	m o h a m m a d aa b aa d
mohammadaabaada	m o h a mm a d aa b aa d
mohammadaabaada	m u h a mm a d aa b aa d
mohammadii	m o h a m m a d ii
mohanalaalaganja	m o h a n a l aa l a g a n j
mohanalaalaganja	m o h a n axx l aa l axx g a n j
momanabadxqoudiyaa	m o m a n a b a dxq ou d i y aa
montxha	m o n txh
montxha	m o txh
moudahaa	m ou d a h aa
moudahaa	m ou d axx h aa
mousambii	m o s a m axx b ii
mousambii	m o s a m b ii
mousambii	m o s a mm ii
mousambii	m ou s a mm ii
mugaraabaadashaahapura	m u g axx r aa b aa d axx sh aa h axx p u r
mugaraabaadashaahapura	m u g r aa b aa d axx sh aa h axx p u r
mujjapharanagara	m u jj a ph a r a n a g a r
mujjapharanagara	m u jj a ph a r axx n a g a r
mulataii	m u l a t a ii
mulataii	m u l t a ii
mundxeeraa	m u n dx ee r
mundxeeraa	m u n dx ee r aa
mungaawalii	m u n g aa w a l ii
munshiiganja	m u n sh ii g a n j
munshiiganja	m u n s ii g a n j
muraadaabaada	m u r aa d aa b aa d
muraadanagara	m u r aa d a n a g a r
muraadanagara	m u r aa d axx n a g a r
muraii	m u r a i
muraii	m u r a ii
mureinaa	m u r ei n aa
mureinaa	m u r ei n ee
muulii	m uu l ii
muungadaala	m uu n g aa d aa l
muungadaala	m uu n g a d aa l
muungadaala	m uu n g axx d aa l
muungadeeshii	m uu n g aa d ee sh ii
muungadeeshii	m uu n g aa d ee s ii
muungadeeshii	m uu n g a d ee sh ii
muungadeeshii	m uu n g a d ee s ii
muungakiidaala	m uu ng a k ii d aa l
muunga	m uu n g
muunga	m uu n g aa
muungaphaliidaanaa	m uu n g a ph a l ii d aa n aa
muungaphaliidaanaa	m uu n g axx ph a l ii d aa n aa
muungaphaliihaaibridxa	m uu n g a ph a l ii h aa i b r i dx
muungaphaliihaaibridxa	m uu n g a ph a l ii h aa i b r ii dx
muungaphaliihaaibridxa	m uu n g axx ph a l ii h aa i b r i dx
muungaphaliihaaibridxa	m uu n g axx ph a l ii h aa i b r ii dx
muungaphaliilokala	m uu n g a ph a l ii l o k a l
muungaphaliilokala	m uu n g axx ph a l ii l o k a l
muungaphalii	m uu n g aa ph a l ii
muungaphalii	m uu n g a ph a l ii
muungaphalii	m uu n g axx ph a l ii
muungasaabuuta	m uu n g aa s aa b u t
muungasaabuuta	m uu n g aa s aa b uu t
muungasaabuuta	m uu n g a s aa b u t
muungasaabuuta	m uu n g a s aa b uu t
naagadaa	n aa g a d aa
naagapurii	n aa g a p u r ii
naagapurii	n aa g axx p u r ii
naagouda	n aa g ou d
naaiina	n aa ii n
naaiina	n aa i n
naama	n aa m
naanapaaraa	n aa n axx p aa r aa
naaraayanapura	n aa r aa y a n a p u r
naaraayanapura	n aa r aa y a n axx p u r
naariiyala	n aa r ii y a l
naashapaatii	n aa s axx p aa t ii
naashapaatii	n aa sh a p aa t ii
naashapaatii	n aa sh axx p aa t ii
naashapaatii	n aa sh p aa t ii
naashapaatii	n aa s p aa t ii
naasika	n aa s i k
nagara	n a g a r
nagiinaa	n a g ii n aa
nahiin	n aa
nahiin	n a h ii
nahiin	n a h ii n
najiibaabaada	n a j ii b aa b aa d
nalkeedxhqaa	n a l a k ee dxhq aa
nanouta	n a n ou t
narasinghagadxhqa	n a r a s i n gh a g a dxhq
narasinghapura	n a r a s i n gh a p u r
narasinghapura	n a r a s i n g p u r
nasrullaaganja	n a s r u ll aa g a n j
nawaabaganja	n a w aa b axx g a n j
nawiina	n a b ii n
nawiina	n a w ii n
nayaa	n a y aa
neewaadxqii	n ee w aa dxq ii
neiniitaala	n ei n ii t aa l
niimaca	n ii m a c
niimaca	n ii m axx c
niimbuu	n ii m b uu
ninyaanawee	n i n y aa n a w ee
ninyaanawee	n i n y aa n axx b ee
ninyaanawee	n i n y aa n axx w ee
nougadxhq	n ou g a dxhq
nou	n ou
noutanawaa	n ou t a n axx w aa
obeedullaaganja	o b ee d u ll aa g a n j
ouraiyaa	ou r ai y aa
paalaka	p aa l a k
paalaka	p aa l k ii
paana	p aa n
paanca	p aa n c
paanca	p aan c
paanii	p aa n ii
paarasawadxqa	p aa r a s a w a dxq
pacaasa	p a c aa s
pacaasii	p a c aa s ii
pacapana	p a c a p a n
pacapana	p a c axx p a n
pacciisa	p a c c ii s
pacciisa	p a cc ii s
pachattara	p a ch a tt a r
pacoura	p a c ou r
padouraa	p a d ou r aa
padxqosii	p a dxq o s ii
pakaakeelaa	p a k aa k ee l aa
pakaakeelaa	p a kk aa k ee l aa
pakaa	p a k aa
pakaa	p a kk aa
paliaakala	p a l i aa k a l
pancapeedxqwaa	p a n c axx p ee dxq w aa
pandhaanaa	p a n dh aa n aa
pandhuurnxa	p a n dh uu r nx
pandraha	p a n d r aa
pandraha	p a n d r a h
pannaa	p a nn aa
papiitaa	p a p ii t aa
parawala	p a r a w a l
parawala	p a r axx m a l
parawala	p a r axx w a l
parawala	p a r axx w a r
pariikashitagadxhq	p a r ii k axx sh i t axx g a dxhq
pariikashitagadxhq	p a r ii k axx s i t axx g a dxhq
partaawala	p a r t aa w a l
pathariyaa	p a th a r i aa
pathariyaa	p a th a r i y aa
pattaagobhii	p aa t a g o bh ii
pattaagobhii	p a k aa g o bh ii
pattaagobhii	p a kk aa g o bh ii
pattaagobhii	p a t t aa g o bh ii
pattaagobhii	p a tt aa g o bh ii
pattaagobhii	p a t t aa g o b ii
pattaagobhii	p a tt aa g o b ii
pattaa	p a t t aa
pattaa	p a tt aa
patteedaarasabjii	p a t ee d aa r a s a b j ii
patteedaarasabjii	p a t t ee d aa r a s a b j ii
patxhaarii	p a txh aa r ii
<pau>	SIL
payaagapura	p a y aa g axx p u r
peedxa	p ee dx
peetxhaa	p ee txh aa
peinsatxha	p ei n s a txh
peinsatxha	p ei s a txh
peintaaliisa	p ei n t aa l ii s
peintaaliisa	p ei n t aa l i s
peintiisa	p ei n t ii s
phaaina	ph aa i n
phaateehaabaada	ph aa t ee h aa b aa d
phala	ph a l
phalii	ph a l ii
pharrukhaabaada	ph a r r u kh aa b aa d
pharrukhaabaada	ph a rr u kh aa b aa d
pharrukhaabaada	ph a rr u kkh aa b aa d
phasala	ph a s a l
phateehapura	ph a t ee h a p u r
phateehapura	ph a t ee p u r
phateehapurasiikarii	ph a t ee h axx p u r a s ii k a r ii
phateehapurasiikarii	ph a t ee p u r s ii k a r ii
pheetxhaa	p ee txh aa
